,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
0,2020-01-01,,,,,,,,,,,,,,,,,
1,2020-01-02,,,,,,,,,,,,,,,,,
2,2020-01-03,,,,,,,,,,,,,,,,,
3,2020-01-04,,,,,,,,,,,,,,,,,
4,2020-01-05,,,,,,,,,,,,,,,,,
5,2020-01-06,,,,,,,,,,,,,,,,,
6,2020-01-07,,,,,,,,,,,,,,,,,
7,2020-01-08,,,,,,,,,,,,,,,,,
8,2020-01-09,,,,,,,,,,,,,,,,,
9,2020-01-10,,,,,,,,,,,,,,,,,
10,2020-01-11,,,,,,,,,,,,,,,,,
11,2020-01-12,,,,,,,,,,,,,,,,,
12,2020-01-13,,,,,,,,,,,,,,,,,
13,2020-01-14,,,,,,,,,,,,,,,,,
14,2020-01-15,,,,,,,,,,,,,,,,,
15,2020-01-16,,,,,,,,,,,,,,,,,
16,2020-01-17,,,,,,,,,,,,,,,,,
17,2020-01-18,,,,,,,,,,,,,,,,,
18,2020-01-19,,,,,,,,,,,,,,,,,
19,2020-01-20,,,,,,,,,,,,,,,,,
20,2020-01-21,,,,,,,,,,,,,,,,,
21,2020-01-22,,,,,,,,,,,,,,,,,
22,2020-01-23,,,,,,,,,,,,,,,,,
23,2020-01-24,,,,,,,,,,,,,,,,,
24,2020-01-25,,,,,1.0,0.0,,,,,,,,,,,
25,2020-01-26,1.0,0.0,,,2.0,0.0,,,,,,,,,,,
26,2020-01-27,0.0,0.0,,,2.0,0.0,,,,,,,,,,,
27,2020-01-28,0.0,0.0,,,2.0,0.0,,,,,,,,,,,
28,2020-01-29,0.0,0.0,,,2.0,0.0,,,,,,,,,,,
29,2020-01-30,0.0,0.0,,,2.0,0.0,,,,,,,,,,,
30,2020-01-31,1.0,0.0,,,3.0,0.0,,,,,,,,,,,
31,2020-02-01,0.0,0.0,,,3.0,0.0,,,,,,,,,,,
32,2020-02-02,3.0,0.0,,,6.0,0.0,,,,,,,,,,,
33,2020-02-03,0.0,0.0,,,6.0,0.0,,,,,,,,,,,
34,2020-02-04,0.0,0.0,,,6.0,0.0,,,,,,,,,,,
35,2020-02-05,0.0,0.0,,,6.0,0.0,,,,,,,,,,,
36,2020-02-06,0.0,0.0,,,6.0,0.0,,,,,,,,,,,
37,2020-02-07,0.0,0.0,,,6.0,0.0,,,,,,,,,,,
38,2020-02-08,0.0,0.0,,,6.0,0.0,,,,,,,,,,,
39,2020-02-09,0.0,0.0,,,6.0,0.0,,,,,,,,,,,
40,2020-02-10,1.0,0.0,,,7.0,0.0,,,,,,,,,,,
41,2020-02-11,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
42,2020-02-12,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
43,2020-02-13,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
44,2020-02-14,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
45,2020-02-15,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
46,2020-02-16,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
47,2020-02-17,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
48,2020-02-18,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
49,2020-02-19,0.0,0.0,,,7.0,0.0,,,,,,,,,,,
50,2020-02-20,1.0,0.0,,,8.0,0.0,,,,,,,,,,,
51,2020-02-21,1.0,0.0,,,9.0,0.0,,,,,,,,,,,
52,2020-02-22,0.0,0.0,,,9.0,0.0,,,,,,,,,,,
53,2020-02-23,0.0,0.0,,,9.0,0.0,,,,,,,,,,,
54,2020-02-24,2.0,0.0,,,11.0,0.0,,,,,,,,,,,
55,2020-02-25,0.0,0.0,,,11.0,0.0,,,,,,,,,,,
56,2020-02-26,15.0,0.0,,,26.0,0.0,,,,,,,,,,,
57,2020-02-27,0.0,0.0,,,26.0,0.0,,,,,,,,,,,
58,2020-02-28,1.0,0.0,,,27.0,0.0,,,,,,,,,,,
59,2020-02-29,1.0,0.0,,,28.0,0.0,,,,,,,,,,,
60,2020-03-01,5.0,0.0,,,33.0,0.0,,,,,,,,,,,
61,2020-03-02,5.0,0.0,,,38.0,0.0,,,,,,,,,,,
62,2020-03-03,7.0,0.0,,,45.0,0.0,,,,,,,,,,,
63,2020-03-04,10.0,1.0,,,55.0,1.0,,515.0,,,,,,,,,
64,2020-03-05,12.0,0.0,,0.0,67.0,1.0,,515.0,,,,,,,,,
65,2020-03-06,14.0,0.0,,7.0,81.0,1.0,,522.0,,,,,,,,,
66,2020-03-07,19.0,0.0,,9.0,100.0,1.0,,531.0,,,,,,,,,
67,2020-03-08,12.0,0.0,,19.0,112.0,1.0,,550.0,,,,,,,,,
68,2020-03-09,60.0,1.0,,254.0,172.0,2.0,,804.0,,,,,,,,,
69,2020-03-10,7.0,1.0,,19.0,179.0,3.0,,823.0,,,,,,,,,
