,latitude,longitude
0,37.0,-120.0
1,37.0,-120.0
2,37.0,-120.0
3,37.0,-120.0
4,37.0,-120.0
5,37.0,-120.0
6,37.0,-120.0
7,37.0,-120.0
8,37.0,-120.0
9,37.0,-120.0
10,37.0,-120.0
11,37.0,-120.0
12,37.0,-120.0
13,37.0,-120.0
14,37.0,-120.0
15,37.0,-120.0
16,37.0,-120.0
17,37.0,-120.0
18,37.0,-120.0
19,37.0,-120.0
20,37.0,-120.0
21,37.0,-120.0
22,37.0,-120.0
23,37.0,-120.0
24,37.0,-120.0
25,37.0,-120.0
26,37.0,-120.0
27,37.0,-120.0
28,37.0,-120.0
29,37.0,-120.0
30,37.0,-120.0
31,37.0,-120.0
32,37.0,-120.0
33,37.0,-120.0
34,37.0,-120.0
35,37.0,-120.0
36,37.0,-120.0
37,37.0,-120.0
38,37.0,-120.0
39,37.0,-120.0
40,37.0,-120.0
41,37.0,-120.0
42,37.0,-120.0
43,37.0,-120.0
44,37.0,-120.0
45,37.0,-120.0
46,37.0,-120.0
47,37.0,-120.0
48,37.0,-120.0
49,37.0,-120.0
50,37.0,-120.0
51,37.0,-120.0
52,37.0,-120.0
53,37.0,-120.0
54,37.0,-120.0
55,37.0,-120.0
56,37.0,-120.0
57,37.0,-120.0
58,37.0,-120.0
59,37.0,-120.0
60,37.0,-120.0
61,37.0,-120.0
62,37.0,-120.0
63,37.0,-120.0
64,37.0,-120.0
65,37.0,-120.0
66,37.0,-120.0
67,37.0,-120.0
68,37.0,-120.0
69,37.0,-120.0
70,37.0,-120.0
71,37.0,-120.0
72,37.0,-120.0
73,37.0,-120.0
74,37.0,-120.0
75,37.0,-120.0
76,37.0,-120.0
77,37.0,-120.0
78,37.0,-120.0
79,37.0,-120.0
80,37.0,-120.0
81,37.0,-120.0
82,37.0,-120.0
83,37.0,-120.0
84,37.0,-120.0
85,37.0,-120.0
86,37.0,-120.0
87,37.0,-120.0
88,37.0,-120.0
89,37.0,-120.0
90,37.0,-120.0
91,37.0,-120.0
92,37.0,-120.0
93,37.0,-120.0
94,37.0,-120.0
95,37.0,-120.0
96,37.0,-120.0
97,37.0,-120.0
98,37.0,-120.0
99,37.0,-120.0
100,37.0,-120.0
101,37.0,-120.0
102,37.0,-120.0
103,37.0,-120.0
104,37.0,-120.0
105,37.0,-120.0
106,37.0,-120.0
107,37.0,-120.0
108,37.0,-120.0
109,37.0,-120.0
110,37.0,-120.0
111,37.0,-120.0
112,37.0,-120.0
113,37.0,-120.0
114,37.0,-120.0
115,37.0,-120.0
116,37.0,-120.0
117,37.0,-120.0
118,37.0,-120.0
119,37.0,-120.0
120,37.0,-120.0
121,37.0,-120.0
