,subregion2_name,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,1.0,1.0,19.0,1.0,-1.0,0.0
46,,5.0,0.0,31.0,1.0,-1.0,-1.0
47,,9.0,1.0,44.0,-12.0,-38.0,8.0
48,,0.0,0.0,16.0,3.0,0.0,0.0
49,,0.0,0.0,13.0,1.0,0.0,0.0
50,,2.0,1.0,12.0,1.0,0.0,0.0
51,,1.0,0.0,8.0,0.0,1.0,0.0
52,,0.0,0.0,-3.0,-4.0,1.0,1.0
53,,4.0,1.0,16.0,3.0,2.0,0.0
54,,2.0,0.0,12.0,1.0,4.0,0.0
55,,3.0,1.0,20.0,3.0,3.0,-1.0
56,,5.0,3.0,16.0,3.0,2.0,-1.0
57,,5.0,3.0,14.0,3.0,2.0,-1.0
58,,4.0,4.0,10.0,2.0,3.0,-1.0
59,,4.0,4.0,15.0,1.0,2.0,-1.0
60,,5.0,3.0,-4.0,-1.0,1.0,0.0
61,,6.0,6.0,8.0,0.0,4.0,-1.0
62,,8.0,9.0,30.0,2.0,3.0,-1.0
63,,4.0,6.0,15.0,-1.0,2.0,0.0
64,,5.0,7.0,11.0,-1.0,2.0,0.0
65,,2.0,5.0,7.0,-4.0,2.0,0.0
66,,0.0,4.0,0.0,-6.0,2.0,1.0
67,,2.0,3.0,11.0,-4.0,1.0,0.0
68,,3.0,6.0,12.0,-7.0,1.0,1.0
69,,-1.0,4.0,-10.0,-13.0,-3.0,3.0
70,,3.0,9.0,12.0,-10.0,-3.0,2.0
71,,-3.0,13.0,-15.0,-18.0,-6.0,4.0
72,,-3.0,31.0,-20.0,-21.0,-8.0,5.0
73,,-13.0,23.0,-37.0,-24.0,-6.0,6.0
74,,-16.0,11.0,-25.0,-23.0,-8.0,6.0
75,,-12.0,21.0,-27.0,-31.0,-24.0,11.0
76,,-23.0,11.0,-12.0,-34.0,-33.0,14.0
77,,-29.0,4.0,-20.0,-39.0,-38.0,17.0
