time_value,geo_value,direction,lag,value
2020-02-01,AK,,95,0.0
2020-02-01,AL,,95,2.0168556853498
2020-02-01,AR,,95,3.9611345352748
2020-02-01,AZ,,95,1.7324578847858
2020-02-01,CA,,95,4.6392613489129
2020-02-01,CO,,95,3.3107295003887
2020-02-01,CT,,95,0.0
2020-02-01,DC,,95,0.0
2020-02-01,DE,,95,0.0
2020-02-01,FL,,95,7.427786740289
2020-02-01,GA,,95,2.5860046982421
2020-02-01,HI,,95,8.0198511243306
2020-02-01,IA,,95,6.244386615204
2020-02-01,ID,,95,10.994438365128
2020-02-01,IL,,95,5.0445724093543
2020-02-01,IN,,95,5.3155414285443
2020-02-01,KS,,95,0.0
2020-02-01,KY,,95,0.0
2020-02-01,LA,,95,5.9532882007533
2020-02-01,MA,,95,2.3723184886304
2020-02-01,MD,,95,0.57557154444006
2020-02-01,ME,,95,9.4615905303747
2020-02-01,MI,,95,2.7158550571973
2020-02-01,MN,,95,10.142074294591
2020-02-01,MO,,95,4.2471979989949
2020-02-01,MS,,95,3.5813906261051
2020-02-01,MT,,95,0.0
2020-02-01,NC,,95,7.5162168601169
2020-02-01,ND,,95,14.220654665039
2020-02-01,NE,,95,2.4947011082988
2020-02-01,NH,,95,0.0
2020-02-01,NJ,,95,2.39235381804
2020-02-01,NM,,95,0.0
2020-02-01,NV,,95,2.0039593992395
2020-02-01,NY,,95,2.1726361844564
2020-02-01,OH,,95,4.7460711076664
2020-02-01,OK,,95,5.514574168719
2020-02-01,OR,,95,2.8583195507633
2020-02-01,PA,,95,3.0705873595509
2020-02-01,RI,,95,15.503976508944
2020-02-01,SC,,95,10.814808492671
2020-02-01,SD,,95,0.0
2020-02-01,TN,,95,2.4861714222165
2020-02-01,TX,,95,5.4492209976352
2020-02-01,UT,,95,8.7548625394437
2020-02-01,VA,,95,5.9264678679064
2020-02-01,VT,,95,20.5528101988
2020-02-01,WA,,95,3.5661832452289
2020-02-01,WI,,95,7.5431002741501
2020-02-01,WV,,95,0.0
2020-02-01,WY,,95,0.0
2020-02-02,AK,,94,0.0
2020-02-02,AL,,94,4.4392841290141
2020-02-02,AR,,94,3.2314931480941
2020-02-02,AZ,,94,3.3633772222939
2020-02-02,CA,,94,4.7380582424135
2020-02-02,CO,,94,11.841744752941
