,State,ci_Prediction_%,Prediction_95_ci_l,Prediction,Prediction_95_ci_h
0,Alaska,38.0,348.2259944333766,560.4825678420767,772.7391412507768
1,Alabama,20.0,1796.7914052447616,2233.868102347875,2670.9447994509883
2,Arkansas,9.0,1905.839742158728,2087.1830149302123,2268.526287701696
3,Arizona,49.0,874.4848907362075,1715.2787959630111,2556.072701189815
4,California,48.0,3301.0490110013748,6383.516782466728,9465.984553932081
5,Colorado,18.0,2460.1885178372845,3017.6393710914526,3575.0902243456208
6,Connecticut,89.0,85.40827039920259,745.166526645776,1404.9247828923494
7,District of Columbia,30.0,72.48108082649352,103.58149627262071,134.6819117187479
8,Delaware,27.0,174.31480435295936,240.30174413447804,306.2886839159967
9,Florida,21.0,4838.100734304246,6102.859636097741,7367.618537891236
10,Georgia,68.0,1456.316492222128,4494.738610729187,7533.160729236246
11,Hawaii,38.0,100.43876572755948,163.16388547035206,225.88900521314463
12,Iowa,12.0,2223.2862900797895,2538.499962884553,2853.7136356893166
13,Idaho,53.0,811.1647405394269,1734.3026752709734,2657.44061000252
14,Illinois,9.0,7900.178294771587,8728.110453609941,9556.042612448295
15,Indiana,14.0,4140.556474029265,4831.016910462389,5521.477346895514
16,Kansas,20.0,1947.1592250999213,2436.393877949007,2925.628530798093
17,Kentucky,19.0,2087.0221442989337,2566.299910732325,3045.577677165716
18,Louisiana,25.0,1303.4666865208349,1736.0929841494917,2168.719281778149
19,Massachusetts,84.0,64.63246745741651,406.3712548935398,748.1100423296631
20,Maryland,30.0,716.3033787779184,1024.3079702989398,1332.3125618199613
21,Maine,50.0,36.34379164168208,72.98752687010855,109.63126209853502
22,Michigan,82.0,677.2579962956452,3764.9559913891026,6852.65398648256
23,Minnesota,35.0,1793.8938427439161,2768.6495816229117,3743.405320501907
24,Missouri,24.0,3329.5771403591903,4397.538281384998,5465.499422410807
25,Mississippi,46.0,855.9678529647127,1591.7160878620105,2327.4643227593083
26,Montana,13.0,1407.6697201830782,1614.2607177769291,1820.85171537078
27,North Carolina,14.0,3380.5038703985465,3941.930047113258,4503.356223827969
28,North Dakota,11.0,1465.9621910507226,1647.5021983697843,1829.042205688846
29,Nebraska,35.0,1266.8710011029098,1936.8551755159165,2606.839349928923
30,New Hampshire,18.0,141.6764663991039,172.810231346814,203.94399629452408
31,New Jersey,21.0,1779.1117687605797,2257.551459741424,2735.9911507222682
32,New Mexico,25.0,1313.8288044192436,1754.3040619583276,2194.7793194974115
33,Nevada,15.0,1035.4210091929735,1218.3309835926173,1401.240957992261
34,New York,10.0,3418.302422143611,3815.661851383854,4213.021280624097
35,Ohio,5.0,4979.669323741213,5258.355760125958,5537.042196510703
36,Oklahoma,21.0,2059.113797814039,2622.175694465962,3185.2375911178847
37,Oregon,8.0,633.498708585459,689.8955756959367,746.2924428064144
38,Pennsylvania,17.0,2673.3525391399025,3211.1216864657545,3748.8908337916064
39,Rhode Island,27.0,856.2541845406234,1165.9351415397518,1475.6160985388801
40,South Carolina,56.0,566.6428385294978,1280.0694144928643,1993.4959904562309
41,South Dakota,19.0,1388.109186701321,1717.4466861666215,2046.784185631922
42,Tennessee,48.0,2330.7498768456235,4510.902018512096,6691.054160178569
43,Texas,22.0,8334.150046480869,10651.003133998815,12967.85622151676
44,Utah,21.0,2495.1821469609968,3141.309669787104,3787.4371926132117
45,Virginia,25.0,1221.5806927107885,1633.478389392465,2045.3760860741415
46,Vermont,95.0,1.0414319045812164,21.76300670293973,42.484581501298244
47,Washington,35.0,1043.818774812346,1608.9021563654587,2173.9855379185715
48,Wisconsin,62.0,3058.727914017818,8012.686376700686,12966.644839383554
49,West Virginia,50.0,246.89018448809733,495.61919208949985,744.3481996909023
50,Wyoming,19.0,504.2426865491489,621.2084990751114,738.1743116010739
